Ref_Date,GEO,DATE,Vector,Coordinate,Value
1906,Canada,"At June 1 (x 1,000)",v62212,1.1,1963.1
1907,Canada,"At June 1 (x 1,000)",v62212,1.1,2105.6
1908,Canada,"At June 1 (x 1,000)",v62212,1.1,2247.9
1909,Canada,"At June 1 (x 1,000)",v62212,1.1,2327.1
1910,Canada,"At June 1 (x 1,000)",v62212,1.1,2477.6
1911,Canada,"At June 1 (x 1,000)",v62212,1.1,2599.0
1912,Canada,"At June 1 (x 1,000)",v62212,1.1,2694.1
1913,Canada,"At June 1 (x 1,000)",v62212,1.1,2826.8
1914,Canada,"At June 1 (x 1,000)",v62212,1.1,2992.2
1915,Canada,"At June 1 (x 1,000)",v62212,1.1,3115.0
1916,Canada,"At June 1 (x 1,000)",v62212,1.1,3167.3
1917,Canada,"At June 1 (x 1,000)",v62212,1.1,3209.8
1918,Canada,"At June 1 (x 1,000)",v62212,1.1,3346.4
1919,Canada,"At June 1 (x 1,000)",v62212,1.1,3445.0
1920,Canada,"At June 1 (x 1,000)",v62212,1.1,3404.5
1921,Canada,"At June 1 (x 1,000)",v62212,1.1,3451.8
1922,Canada,"At June 1 (x 1,000)",v62212,1.1,3401.3
1923,Canada,"At June 1 (x 1,000)",v62212,1.1,3340.8
1924,Canada,"At June 1 (x 1,000)",v62212,1.1,3384.0
1925,Canada,"At June 1 (x 1,000)",v62212,1.1,3348.4
1926,Canada,"At June 1 (x 1,000)",v62212,1.1,3360.7
1927,Canada,"At June 1 (x 1,000)",v62212,1.1,3297.1
1928,Canada,"At June 1 (x 1,000)",v62212,1.1,3264.7
1929,Canada,"At June 1 (x 1,000)",v62212,1.1,3263.7
1930,Canada,"At June 1 (x 1,000)",v62212,1.1,3191.3
1931,Canada,"At June 1 (x 1,000)",v62212,1.1,3113.9
1932,Canada,"At June 1 (x 1,000)",v62212,1.1,3084.5
1933,Canada,"At June 1 (x 1,000)",v62212,1.1,2973.4
1934,Canada,"At June 1 (x 1,000)",v62212,1.1,2918.4
1935,Canada,"At June 1 (x 1,000)",v62212,1.1,2911.1
1936,Canada,"At June 1 (x 1,000)",v62212,1.1,2877.5
1937,Canada,"At June 1 (x 1,000)",v62212,1.1,2844.6
1938,Canada,"At June 1 (x 1,000)",v62212,1.1,2769.9
1939,Canada,"At June 1 (x 1,000)",v62212,1.1,2760.6
1940,Canada,"At June 1 (x 1,000)",v62212,1.1,2780.0
1941,Canada,"At June 1 (x 1,000)",v62212,1.1,2788.8
1942,Canada,"At June 1 (x 1,000)",v62212,1.1,2758.9
1943,Canada,"At June 1 (x 1,000)",v62212,1.1,2666.8
1944,Canada,"At June 1 (x 1,000)",v62212,1.1,2567.7
1945,Canada,"At June 1 (x 1,000)",v62212,1.1,2374.1
1946,Canada,"At June 1 (x 1,000)",v62212,1.1,2135.5
1947,Canada,"At June 1 (x 1,000)",v62212,1.1,1937.2
1948,Canada,"At June 1 (x 1,000)",v62212,1.1,1788.9
1949,Canada,"At June 1 (x 1,000)",v62212,1.1,1641.5
1950,Canada,"At June 1 (x 1,000)",v62212,1.1,1496.5
1951,Canada,"At June 1 (x 1,000)",v62212,1.1,1303.8
1952,Canada,"At June 1 (x 1,000)",v62212,1.1,1178.7
1953,Canada,"At June 1 (x 1,000)",v62212,1.1,1054.6
1954,Canada,"At June 1 (x 1,000)",v62212,1.1,917.4
1955,Canada,"At June 1 (x 1,000)",v62212,1.1,831.7
1956,Canada,"At June 1 (x 1,000)",v62212,1.1,782.1
1957,Canada,"At June 1 (x 1,000)",v62212,1.1,721.8
1958,Canada,"At June 1 (x 1,000)",v62212,1.1,660.6
1959,Canada,"At June 1 (x 1,000)",v62212,1.1,597.7
1960,Canada,"At June 1 (x 1,000)",v62212,1.1,551.5
1961,Canada,"At June 1 (x 1,000)",v62212,1.1,510.6
1962,Canada,"At June 1 (x 1,000)",v62212,1.1,478.2
1963,Canada,"At June 1 (x 1,000)",v62212,1.1,451.0
1964,Canada,"At June 1 (x 1,000)",v62212,1.1,431.2
1965,Canada,"At June 1 (x 1,000)",v62212,1.1,402.9
1966,Canada,"At June 1 (x 1,000)",v62212,1.1,386.2
1967,Canada,"At June 1 (x 1,000)",v62212,1.1,370.3
1968,Canada,"At June 1 (x 1,000)",v62212,1.1,365.9
1969,Canada,"At June 1 (x 1,000)",v62212,1.1,358.8
1970,Canada,"At June 1 (x 1,000)",v62212,1.1,357.5
1971,Canada,"At June 1 (x 1,000)",v62212,1.1,353.6
1972,Canada,"At June 1 (x 1,000)",v62212,1.1,349.9
1973,Canada,"At June 1 (x 1,000)",v62212,1.1,342.2
1941,Canada,"At December 1 (x 1,000)",v62222,1.2,2746.0
1942,Canada,"At December 1 (x 1,000)",v62222,1.2,2710.6
1943,Canada,"At December 1 (x 1,000)",v62222,1.2,2617.4
1944,Canada,"At December 1 (x 1,000)",v62222,1.2,2510.6
1945,Canada,"At December 1 (x 1,000)",v62222,1.2,2341.8
1946,Canada,"At December 1 (x 1,000)",v62222,1.2,2098.8
1947,Canada,"At December 1 (x 1,000)",v62222,1.2,1876.2
1948,Canada,"At December 1 (x 1,000)",v62222,1.2,1711.1
1949,Canada,"At December 1 (x 1,000)",v62222,1.2,1570.4
1950,Canada,"At December 1 (x 1,000)",v62222,1.2,1403.3
1951,Canada,"At December 1 (x 1,000)",v62222,1.2,1234.0
1952,Canada,"At December 1 (x 1,000)",v62222,1.2,1143.2
1953,Canada,"At December 1 (x 1,000)",v62222,1.2,986.6
1954,Canada,"At December 1 (x 1,000)",v62222,1.2,886.7
1955,Canada,"At December 1 (x 1,000)",v62222,1.2,802.8
1956,Canada,"At December 1 (x 1,000)",v62222,1.2,740.1
1957,Canada,"At December 1 (x 1,000)",v62222,1.2,689.7
1958,Canada,"At December 1 (x 1,000)",v62222,1.2,620.6
1959,Canada,"At December 1 (x 1,000)",v62222,1.2,574.4
1960,Canada,"At December 1 (x 1,000)",v62222,1.2,528.5
1961,Canada,"At December 1 (x 1,000)",v62222,1.2,494.1
1962,Canada,"At December 1 (x 1,000)",v62222,1.2,460.4
1963,Canada,"At December 1 (x 1,000)",v62222,1.2,441.2
1964,Canada,"At December 1 (x 1,000)",v62222,1.2,419.9
1965,Canada,"At December 1 (x 1,000)",v62222,1.2,402.9
1966,Canada,"At December 1 (x 1,000)",v62222,1.2,371.9
1967,Canada,"At December 1 (x 1,000)",v62222,1.2,356.5
1968,Canada,"At December 1 (x 1,000)",v62222,1.2,352.6
1969,Canada,"At December 1 (x 1,000)",v62222,1.2,366.9
1970,Canada,"At December 1 (x 1,000)",v62222,1.2,358.9
1971,Canada,"At December 1 (x 1,000)",v62222,1.2,356.5
1972,Canada,"At December 1 (x 1,000)",v62222,1.2,340.0
1906,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,34.5
1907,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.3
1908,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,36.2
1909,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.6
1910,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.9
1911,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.9
1912,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.3
1913,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.2
1914,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.0
1915,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.4
1916,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,36.7
1917,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,36.7
1918,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.8
1919,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,35.3
1920,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,32.5
1921,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,32.0
1922,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,33.0
1923,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,32.0
1924,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,32.5
1925,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,31.5
1926,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,30.6
1927,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,30.6
1928,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,30.9
1929,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,30.1
1930,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,31.0
1931,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,30.0
1932,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,29.3
1933,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.8
1934,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,27.4
1935,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,27.9
1936,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,27.5
1937,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.7
1938,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.8
1939,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.8
1940,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.4
1941,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.0
1942,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.1
1943,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,27.4
1944,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,28.1
1945,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,26.5
1946,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,25.5
1947,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,23.9
1948,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,23.2
1949,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,22.9
1950,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,22.4
1951,Prince Edward Island,"At June 1 (x 1,000)",v62213,2.1,21.3
