Ref_Date,GEO,COMP,Vector,Coordinate,Value
1914,Canada,"Horses on farm (x 1,000)",v62200,1.1,2992.00
1915,Canada,"Horses on farm (x 1,000)",v62200,1.1,3115.00
1916,Canada,"Horses on farm (x 1,000)",v62200,1.1,3167.00
1917,Canada,"Horses on farm (x 1,000)",v62200,1.1,3210.00
1918,Canada,"Horses on farm (x 1,000)",v62200,1.1,3346.00
1919,Canada,"Horses on farm (x 1,000)",v62200,1.1,3445.00
1920,Canada,"Horses on farm (x 1,000)",v62200,1.1,3404.00
1921,Canada,"Horses on farm (x 1,000)",v62200,1.1,3452.00
1922,Canada,"Horses on farm (x 1,000)",v62200,1.1,3401.00
1923,Canada,"Horses on farm (x 1,000)",v62200,1.1,3341.00
1924,Canada,"Horses on farm (x 1,000)",v62200,1.1,3384.00
1925,Canada,"Horses on farm (x 1,000)",v62200,1.1,3348.00
1926,Canada,"Horses on farm (x 1,000)",v62200,1.1,3361.00
1927,Canada,"Horses on farm (x 1,000)",v62200,1.1,3297.00
1928,Canada,"Horses on farm (x 1,000)",v62200,1.1,3265.00
1929,Canada,"Horses on farm (x 1,000)",v62200,1.1,3264.00
1930,Canada,"Horses on farm (x 1,000)",v62200,1.1,3191.00
1931,Canada,"Horses on farm (x 1,000)",v62200,1.1,3114.00
1932,Canada,"Horses on farm (x 1,000)",v62200,1.1,3084.00
1933,Canada,"Horses on farm (x 1,000)",v62200,1.1,2973.00
1934,Canada,"Horses on farm (x 1,000)",v62200,1.1,2918.00
1935,Canada,"Horses on farm (x 1,000)",v62200,1.1,2911.00
1936,Canada,"Horses on farm (x 1,000)",v62200,1.1,2878.00
1937,Canada,"Horses on farm (x 1,000)",v62200,1.1,2845.00
1938,Canada,"Horses on farm (x 1,000)",v62200,1.1,2770.00
1939,Canada,"Horses on farm (x 1,000)",v62200,1.1,2761.00
1940,Canada,"Horses on farm (x 1,000)",v62200,1.1,2780.00
1941,Canada,"Horses on farm (x 1,000)",v62200,1.1,2789.00
1942,Canada,"Horses on farm (x 1,000)",v62200,1.1,2759.00
1943,Canada,"Horses on farm (x 1,000)",v62200,1.1,2667.00
1944,Canada,"Horses on farm (x 1,000)",v62200,1.1,2568.00
1945,Canada,"Horses on farm (x 1,000)",v62200,1.1,2374.00
1946,Canada,"Horses on farm (x 1,000)",v62200,1.1,2136.00
1947,Canada,"Horses on farm (x 1,000)",v62200,1.1,1937.00
1948,Canada,"Horses on farm (x 1,000)",v62200,1.1,1789.00
1949,Canada,"Horses on farm (x 1,000)",v62200,1.1,1642.00
1950,Canada,"Horses on farm (x 1,000)",v62200,1.1,1496.00
1951,Canada,"Horses on farm (x 1,000)",v62200,1.1,1304.00
1952,Canada,"Horses on farm (x 1,000)",v62200,1.1,1179.00
1953,Canada,"Horses on farm (x 1,000)",v62200,1.1,1055.00
1954,Canada,"Horses on farm (x 1,000)",v62200,1.1,917.00
1955,Canada,"Horses on farm (x 1,000)",v62200,1.1,832.00
1956,Canada,"Horses on farm (x 1,000)",v62200,1.1,782.00
1957,Canada,"Horses on farm (x 1,000)",v62200,1.1,722.00
1958,Canada,"Horses on farm (x 1,000)",v62200,1.1,661.00
1959,Canada,"Horses on farm (x 1,000)",v62200,1.1,598.00
1960,Canada,"Horses on farm (x 1,000)",v62200,1.1,552.00
1961,Canada,"Horses on farm (x 1,000)",v62200,1.1,511.00
1962,Canada,"Horses on farm (x 1,000)",v62200,1.1,478.00
1963,Canada,"Horses on farm (x 1,000)",v62200,1.1,451.00
1964,Canada,"Horses on farm (x 1,000)",v62200,1.1,431.00
1965,Canada,"Horses on farm (x 1,000)",v62200,1.1,403.00
1966,Canada,"Horses on farm (x 1,000)",v62200,1.1,386.00
1967,Canada,"Horses on farm (x 1,000)",v62200,1.1,370.00
1968,Canada,"Horses on farm (x 1,000)",v62200,1.1,360.00
